Ejemplo;Modismo;Definición Real;Sinónimo;Definición Sinónimo;Acorde;Def. real; ;;
Managrú es reconocido a nivel departamental como la tierra de la yuca además, se cultiva el plátano, primitivo, banano, ñame.;primitivo;Variedad de plátano pequeña y dulce.;principal;Producto agrícola más común o destacado en la zona;0;0;;;
Una arenera en nuestra localidad, es un plan divertido para que tanto padres como niños desarrollen también habilidades sociales.;arenera;Lugar en el que se pone arena, generalmente en los parques, destinado a la diversión infantil.;espacio lúdico;Lugar pensado para juegos y encuentro social entre familias;0;1;;;
Me dijo apresurada que nuestro viaje a Isla Grande sería para otra vez, que se agravaban los problemas con los gringos.;gringo;Persona nacida en los Estados Unidos.;estadounidenses;Personas originarias de Estados Unidos.;1;1;;;
4 alcobas (todas con baño, principal con vestier, familiares con closet, alcoba de empleada completa).;vestier;Cuarto ubicado en la habitación principal de una vivienda, provisto de diferentes tipos de organizadores para guardar la ropa y vestirse.;walk-in closet;Habitación o espacio amplio para guardar ropa y vestirse;1;1;;;
Por su parte, quienes visiten el centro comercial podrán “totiarse” de la risa con el mejor staff de los Comediantes de la noche, quienes se presentarán durante todo el mes.;risa;Reírse desmedida y escandalosamente.;reírse a carcajadas;reacción de risa intensa y prolongada;1;1;;;
eusebio asiste en la montaña;asistir;residir, habitar;morir;perder la vida por una caída o accidente;0;1;;;
El manual del mesero es una obra práctica para la formación integral de un profesional en el servicio de alimentos.;mesero;Empleado que sirve comidas y bebidas en un restaurante, bar o cafetería.;camarero;Persona que atiende mesas en restaurantes o bares;1;1;;;
En algunas regiones los niños son quilicos porque no se alimentan bien.;quilico;Referido a una persona, muy delgada.;flacos;delgados por falta de alimentación adecuada;1;1;;;
¡Ay! Yo voy a buscar mi guitarra y una botella de ron / para formar la pachanga al compás de un acordeón.;pachanga;Fiesta muy animada en la que se baila y se ingieren bebidas alcohólicas.;fiesta animada;reunión alegre con música, baile y bebidas;1;1;;;
Mientras mamá se la pasaba en la guandoca visitando a Padre, yo le cogí sabrosura a las casetas del pueblo.;caseta;Lugar público al aire libre donde se va a bailar.;chica bonita;Mujer atractiva y joven.;0;1;;;
Las semillas de quinua cocinadas se tornan suaves y cremosas, con una nota crujiente y un sabor delicado.;quinua;Planta que alcanza los 3 m de altura, cuyo fruto seco, es muy valorado por su alto valor alimenticio.;quinoa;Grano andino comestible de textura suave y sabor delicado;0;1;;;
en la plaza del pueblo se formó un jerrequejere con motivo de la manifestación;jerrequejere;desorden, barullo;alboroto;ruido y desorden público causado por una multitud;1;1;;;
Una de las alternativas de seguridad que más les interesa a los ciudadanos es comprar su vivienda en conjunto cerrado.;conjunto;Grupo de viviendas o edificios que comparten zonas comunales y tienen vigilancia privada.;urbanización cerrada;Barrio privado con acceso controlado y seguridad perimetral.;1;1;;;
El zurriago o perrero es mando y apoyo, todo un bastón /cuán sonoro puede ser el trueno, que chispas da el látigo / y solo al crispeante ir y venir en el ronroneo del viento/ una mula o un buey se azuzan y presto aligera el paso.;perrero;Látigo hecho con un palo, generalmente de guayacán, y una correa de cuero amarrada, usada para arriar el ganado o castigar.;látigo;instrumento flexible usado para golpear y guiar animales;1;1;;;
El taller ofrece chalecos, cascos, forros, mecánica en general, servicio electrónico, y técnicos en radiar y acobalar toda clase de rines.;acobalar;Devolver la simetría a algo que estaba torcido.;alinear;Ajustar las ruedas para corregir su posición y mejorar el balanceo vehicular.;1;1;;;
La gente de la Amazonía y de los Llanos ha logrado componer platos de notables virtudes, tales como el sarapaté de charapa (tortuga amazónica).;sarapaté;Plato tradicional que se prepara con las vísceras de una tortuga guisadas en su caparazón.;guiso de vísceras;Plato preparado con entrañas de tortuga en su caparazón.;1;1;;;
Cada patio consagrado a la parranda es un espacio que la vida le arrebata a la muerte.;parranda;Fiesta muy animada con bebidas alcohólicas.;fiesta;reunión alegre con música, baile y celebración;1;1;;;
me bajaré donde mi hermano;bajar;alojarse temporalmente en casa de alguien;bajarme;descender del transporte para ir a un lugar;0;1;;;
El canturrón es nativo de América tropical, es una especie inédita de bosques húmedos tropicales, que sólo ha sido reportada para Colombia, en los valles del Magdalena Medio.;canturrón;Árbol de 10 a 15 m de altura, hojas de forma elíptica, flores en racimo de cinco pétalos, filamentos blancos y anteras amarillas, y frutos en cápsula de color café.;especie endémica;organismo propio y exclusivo de una región determinada;1;1;;;
Los psicólogos recomiendan a los matrimonios arruncharse y tener una charla romántica con la pareja.;arruncharse;Dormir con el cuerpo encogido o muy abrazado a alguien.;acurrucarse;Abrazarse y quedarse muy cerca de la pareja en actitud afectuosa.;1;1;;;
no llevé el paraguas y llegué emparamado;emparamado;empapado por la lluvia;empapado;Completamente mojado por la lluvia;1;1;;;
Dejé la ropa con detergente en el platón para que despercuda un poco y luego sí ponerla en la lavadora;platón;Recipiente plástico o metálico, ancho, redondo y poco profundo, usado especialmente para el lavado de la ropa.;balde;Recipiente grande de plástico o metal para contener líquidos.;1;1;;;
lo qu'hemos de hacer es buscale al niño un compañerito, pa que s'entretenga con él y jueguen ai en el platanal y en la manguita de la mana;mana;manadero, manantial;pequeña porción;trozo o área reducida donde jugar;0;0;;;
Pero la chequita viene en evolución: la tapa es algo más gruesa y existe uniformidad en los equipos.;chequita;Juego derivado del béisbol que se juega en las calles con tapas de gaseosa o cerveza y un palo de escoba.;versión;variante o modelo actualizado de un producto;0;1;;;
qué plato de película;plato;persona o asunto divertido o muy peculiar;qué exageración;expresión de asombro ante algo impresionante o exagerado;0;1;;;
Llevó varios de sus cuadros con la doble intención de encontrarles comprador entre los visitantes platudos que llegaban a hablar de negocios.;platudo;Referido a una persona, que tiene bastante dinero.;adinerados;Personas con abundancia de dinero y capacidad para gastar;1;1;;;
En la minuta de vigilancia se debe anotar el grado, nombres y apellidos, arma de dotación y demás elementos necesarios para el servicio.;arma;La que usa un miembro de las Fuerzas Armadas, provistas por el Gobierno.;equipo;Conjunto de elementos entregados para desempeñar el servicio;1;1;;;
A Luis le gustaban los fríjoles, así que hicimos patacones, chicharrón, fritamos chorizo y comimos con una ollada de arroz y carne molida.;fritar;Referido a un alimento, cocinarlo poniéndolo en aceite o grasa hirviendo.;freír;Cocinar alimentos en aceite caliente.;1;1;;;
Aunque la cancelación de los contraflujos se venía estudiando desde comienzos de 1997, solo hasta noviembre pasado se entregaron los resultados de un estudio de la Secretaría de Tránsito.;contraflujo;Modificación en la dirección del flujo vehicular en algunas vías para facilitar y acelerar el tráfico a ciertas horas o en circunstancias particulares.;carril en sentido contrario;Carril habilitado para circular en dirección opuesta a la habitual;1;1;;;
Si quiere entretener a ese señor, mande a Ana que es bien ladina y entradora.;ladino;Referido a una persona, charlatana, mentirosa.;astuta;Persona hábil para manejar situaciones y conseguir objetivos;0;1;;;
Lo más crítico para ellas, dijeron, vanidosas, es que sin agua no pueden ‘enrularse’ un coqueto mechón sobre la mejilla.;enrular;Ondular el cabello con rulos.;rizar;Dar forma ondulada o rizada al cabello.;1;1;;;
¡Qué carro tan peye!;peye;Referido a una persona u objeto, ordinario o de apariencia desagradable.;de mala calidad;Algo de baja calidad, feo o mediocre.;1;1;;;
Se han visto pocas veces y ya está escabrincada.;escabrincado;Referido a una persona, enamorado.;ofendida;persona molesta o resentida por algo dicho o hecho;0;1;;;
En el momento en que se postuló se hizo con un criterio de seleccionar la mejor hoja de vida de los varios nombres y aspirantes.;hoja;Documento que registra datos biográficos, académicos y profesionales de una persona.;currículum;Documento que resume formación, experiencia y datos profesionales;1;1;;;
Echa en su catanga una panela y un café/ pa´ con su machete la panela recogé /echa en canoa y al mercao va a vendé/ pero lo que gana no le alcanza pa´ comé.;catanga;Canasto elaborado con fibras naturales para llevar al hombro o en la espalda.;canasta;recipiente de mimbre o tejido usado para llevar y guardar cosas;1;1;;;
El queso con bocadillo es el pasabocas más tradicional, y a la vez el más sencillo.;bocadillo;Dulce de guayaba de consistencia dura, envuelto en hoja de bijao o en plástico.;dulce de guayaba;Dulce tradicional colombiano hecho de guayaba y azúcar, envuelto en hojas de plátano.;1;1;;;
"El Yagé es conocido también con el nombre de ayahuasca; un término de origen quechua que se descompone en aya: alma; y huasca: bejuco.";ayahuasca;"Planta trepadora de bejucos largos y leñosos, con entrenudos distanciados, hojas opuestas y lanceoladas, y con flores rosadas en umbela; tiene usos medicinales y rituales en las comunidades nativas de Suramérica.";yagé;infusión indígena de planta sagrada con efectos visionarios;0;1;;;
Al único que admite en su trato, y eso por momentos, es al volantón de Martín.;volantón;Persona joven.;hijo;varón joven en la adolescencia o juventud;1;1;;;
No hay plata, y van a sacar 1.632 millones mensuales que nos sirven para obras sociales, para mantener esa catramanada de corruptos.;catramanada;Gran cantidad de personas.;manada de corruptos;Grupo numeroso de personas corruptas y no deseadas.;0;1;;;
Imagínense que le pidió, como dice él, un jurgo de plata por poner unas cámaras de video por todo el conjunto.;jurgo;Cantidad excesiva de algo.;montón;Gran cantidad o abundancia de algo.;1;1;;;
La tuvieron por una gran muñeca decrépita que llevaban y traían por los rincones, disfrazada con trapos de colores y la cara pintada con hollín y achiote.;achiote;Sustancia de color rojo intenso que se usa como colorante o condimento y que se obtiene directamente de la pulpa de las semillas de esta planta o del polvo resultante de su desecación y maceración.;onoto;Pigmento natural rojizo extraído de semillas para teñir y pintar.;1;1;;;
Pásame el joco de la sal, este guiso está insípido.;joco;Recipiente de uso doméstico hecho del fruto del totumo para guardar diferentes alimentos o cargar líquidos.;frasco;Recipiente para contener sal u otros condimentos.;1;1;;;
"el caballo arriscó las orejas; arriscar el sombrero";arriscar;doblar o doblarse algo hacia arriba;levantar;Elevar algo hacia arriba.;1;1;;;
El guapirreo fue el sonido más característico del recorrido, tanto hombres como mujeres gritaban al son de un buen porro.;guapirreo;Grito de alegría que se usa en la cumbia y en el porro para animar a los músicos y a los bailadores.;grito festivo;Grito agudo y alegre usado en celebraciones y música folclórica;1;1;;;
"Por trabajo ni se mosquea porque él es su propio jefe: ""dependo de mí, soy mi propia empresa y creo que tengo cuerda y capacidad de producción para mucho tiempo"".";mosquear;Preocuparse por algo o por alguien.;preocuparse;mostrar inquietud o preocupación por algo;1;1;;;
El musgo y la lama son protectores de las fuentes de agua y actúan como colchón equilibrador de la humedad en épocas secas.;lama;Hierba pequeña de color verde y tupida que crece generalmente en lugares húmedos, rocas y troncos de los árboles.;lodo;Sustancia blanda, húmeda y pegajosa formada por tierra y agua.;0;1;;;
¡Únete a los birriosos del teatro y los títeres en Cartagena!;birrioso;Referido a una persona, aficionada en exceso a algún deporte o pasatiempo.;apasionado;Persona con gran entusiasmo por una actividad.;1;1;;;
Plantación coquera.;coquero;Relativo a la cocaína o su cultivo.;cultivo de coca;Terreno dedicado al cultivo de la planta de coca.;1;1;;;
Cada uno lleva debajo del brazo un bulto de ropa, y en la mano una 'mica' (bacinilla).;mica;Recipiente cilíndrico, portátil, más ancho que alto, con un asa, que se utiliza para evacuar los excrementos.;bacinilla;Recipiente para excrementos humanos.;1;1;;;
Los que no tienen idea o los conocimientos suficientes para afrontar el test, tratan de ubicarse en el salón cerca de la persona que ‘sabe’ o acuden a la magia del ‘machete’.;machete;Papel escrito que se consulta de manera oculta durante una prueba o examen.;chuleta;Apunte oculto usado para copiar respuestas en un examen;1;1;;;
Me vi allí parado mirándola desempacar su maleta con el olor de los bronceadores y lociones que usó en la playa.;desempacar;Deshacer el equipaje de una maleta.;deshacer la maleta;Sacar el contenido de una maleta o equipaje.;1;1;;;
Yo estaba urgido en esa época, la plata valía. y el trabajo se veía. Me metí en el préstamo de puro angurrioso, digo yo.;angurrioso;Referido a una persona, codiciosa y egoísta.;acaparador;Persona que quiere quedarse con todo y no compartir;1;1;;;
Ñapangas que por modelo / Las quisiera un escultor / Giraban al resplandor / De las lámparas del cielo.;ñapango;Mujer campesina del sur de los Andes.;mujeres hermosas;mujeres de gran belleza que parecen obras de arte;0;1;;;
Por seguirle el paso a los otros uno se puede destutanar, y muy probable no hay nadie que lo asista en caso de accidente.;destutanarse;Golpearse fuertemente al caer.;descalabrarse;Herirse gravemente en la cabeza por golpe fuerte.;1;1;;;
El yagé es la planta chamánica de las culturas indígenas amazónicas que permite ver con claridad la totalidad existente en el cosmos, lo material y lo inmaterial.;yagé;Bebida medicinal y ritual con propiedades psicotrópicas que se prepara mediante la cocción de esta planta.;ayahuasca;bebida alucinógena indígena para visiones espirituales y sanación.;1;1;;;
Íbamos para la costa, charlamos a la nena del peaje de La Caro y ella le juró al chofer de un dobletroque que éramos sus primos.;dobletroque;Camión de gran capacidad y motor potente que se emplea para el transporte de carga pesada.;camión;vehículo grande para transportar carga;1;1;;;
Cuando Anita le escucha a Santi la sola palabra 'manga' decide regalarle a Santiago una manga con sal pensando que él va a sentirse muy agradado con el detalle.;manga;Variedad de mango de mayor tamaño, de forma ovoide, de cáscara de color verde, amarillo, rojo o amarillo rojizo, de sabor agradable.;hierba;Planta gramínea abundante en praderas, usada para alimentación de animales.;0;1;;;
Inclusive algunas personas han empezado a asegurar que allí han visto a la vieja o la viuda, en forma de pavo o chumbo.;chumbo;Pavo.;chompipe;Ave grande de plumaje oscuro, similar al pavo.;1;1;;;
Es muy común ver la chicha fría en las inmediaciones de nuestras viviendas husmeando por adquirir los residuos de alimentos.;chicha;Ave entre 21 y 26 cm de largo, con cabeza grande con dos franjas blancas, de pico largo que termina en forma de gancho, pecho amarillo vivo, de grito agudo y prolongado.;gato;Animal que busca comida en la basura cerca de las casas.;0;1;;;
Mientras bogábamos whisky, en el karaoke, a Miguel se le olvidaba la letra, y durante veintidós intentos, sin éxito, nunca logró terminar.;bogar;Beber con avidez, rápidamente y sin detenerse.;chupín;beber de un solo trago;1;1;;;
Plátano frito con queso, plátano tuco con pescado frito. Y ensalada de papa.;plátano;Plátano que se corta en trozos grandes se cocina en agua y se condimenta con sal.;banano;Fruta tropical verde o madura usada en platos fritos o cocidos.;1;1;;;
El sábalo es un exquisito alimento para nosotros los indígenas, se come asado, muqueado o en mazamorra.;sábalo;Pez de agua dulce y de escama, de hasta 60 cm de longitud, cuerpo de color gris verdoso y de carne comestible.;pez sábalo;Pez comestible de agua dulce o salobre consumido asado, guisado o en mazamorra;1;1;;;
Se portó como un guache con esa niña tan dulce y que lo quiere tanto, mano, ¡mucho ser!;ser;Se usa para reprocharle a alguien un mal comportamiento.;falta de respeto;Acto de desconsideración o grosería hacia alguien.;1;1;;;
Y no es por farolear, pero pronto fuí distinguido por mi buena mano en la alta peluquería.;farolear;Presumir de algo que no se posee.;presumir;alardear de cualidades o logros propios;1;1;;;
Se dio cuenta de que intentaban enyesarlo. Quisieron venderle un celular robado y para evitar problemas, salió de allá y los denunció.;enyesar;Estafar a alguien.;estafarlo;Engañar para obtener dinero o venderle algo ilegal o falso;1;1;;;
Las especies poco cultivadas son el bastón del emperador, las astromelias, los anturios y algunos híbridos de heliconias.;bastón;Planta ornamental de tallo delgado, hojas alargadas y flores de pétalos rosados con borde blanco que miden hasta 25 cm de diámetro al abrirse.;bastón del emperador;planta ornamental de la familia Costaceae con inflorescencia en forma de bastón;1;1;;;
La principal recomendación que los expertos hicieron a los caficultores, es evitar el uso excesivo de agua para descerezar el fruto.;descerezar;Quitar la pulpa a la semilla del café para que pierda el dulce introduciéndolo en agua.;despulpado;Retirar la pulpa o cáscara que envuelve el grano de café;1;1;;;
Se puede enseñar sin necesidad de cantaletear haciéndoles sentir a las personas que estamos preocupados por ellas.;cantaletear;Regañar de forma insistente a una persona, hasta causarle molestia.;regarñar;Dar reproches repetidos hasta cansar a alguien.;1;1;;;
De leche fue que Portugal quedó campeón de la Eurocopa porque jugó muy discretamente a lo largo de todo el torneo.;leche;Logro que se obtiene de manera fortuita.;suerte;circunstancia favorable atribuida al azar;1;1;;;
Esas noches los guaqueros se la pasan caminando en el monte, buscando en aquellos lugares donde se han visto llamaradas, ánimas, espantos o luces.;guaquero;Persona dedicada a buscar guacas o tesoros escondidos de forma ilegal para venderlos.;cazatesoros;Persona que busca tesoros ocultos en sitios antiguos.;1;1;;;
qué niña tan chusca;chusco;dicho de una persona o cosa, bonita, agradable, atractiva;linda;de aspecto agradable y atractivo;1;1;;;
Mira este nuevo modelo de bicicleta todoterreno ¡qué nota!;nota;Expresión usada para manifestar agrado o alegría por alguien o por algo.;chévere;Agradable, llamativo y que causa entusiasmo;1;1;;;
Este río Tonusco tiene charcos naturales donde la comunidad realiza 'paseos de olla'.;charco;Remanso de un río, donde la corriente se apacigua y es lenta.;remanso;Porción del río con agua quieta entre corrientes;1;1;;;
Si quieres ir a la fija con la cena es mejor que hagas una reservación en el restaurante.;fija;Con seguridad total y sin temor a equivocarse.;seguro;sin riesgo de fallo ni imprevistos;1;1;;;
El niño cogió el tirito de querer ir al baño justo cuando va a empezar a comer.;tirito;Mala costumbre, resabio.;antojo repentino;Deseo o impulso que surge de manera inesperada e inoportuna.;0;1;;;
Su problema es que todavía cree en las palabras de su generación. Las babosadas de los nadaístas y los manifiestos en mimeógrafo.;babosada;Tontería, necedad.;necedad;Idea o cosa absurda y de poco valor;1;1;;;
En mi lonchera siempre había un sánduche de jamón y queso y un jugo de mango.;sánduche;Comida consistente en dos rebanadas de pan, rellenas con algún alimento.;emparedado;Pan entre dos rebanadas con relleno de jamón y queso;1;1;;;
fernando llegó todo amanecido;amanecido;que ha pasado la noche o parte de esta sin dormir;desvelado;Persona que ha pasado la noche sin dormir.;1;1;;;
En muchos colegios usan chaquiras de varios tamaños para ayudar a los niños a desarrollar su motricidad fina.;chaquira;Semilla o pepita de varios colores que se emplea en la elaboración de collares.;cuentas;Pequeñas bolitas perforadas de vidrio o plástico para ensartar.;1;1;;;
Después de leerles el cuento, el tallerista les presentó a dos invitados.;tallerista;Persona que se encarga de dirigir actividades prácticas de aprendizaje.;facilitador de taller;Persona que dirige actividades prácticas de aprendizaje.;1;1;;;
Como diría cierto líder político, la idea de que un ajuste fiscal genere reactivación no me suena.;sonar;Interesar, llamar la atención o estar de acuerdo con una idea.;no me cuadra;No me parece plausible o coherente;0;1;;;
Yo, como madre de tres hijos varones más, no permitiré que me los encuartelen a todos.;encuartelar;Prestar el servicio militar.;separar;ponerlos en diferentes lugares o casas;0;1;;;
Preferiría ver un show más importante que éste, pero entiendo que de alguien hay que sacar plata y para eso están los bolsillos de los padres, para ser exprimidos con cuanto petuste famoso exista.;petuste;Persona joven que es tonta o que actúa con poca inteligencia.;farsante famoso;persona que actúa con engaño o falsedad para aparentar fama o importancia;0;1;;;
Es traído de los cabellos que me quieran involucrar en un complot. Estoy anonadado, sorprendidísimo.;cabello;Carecer algo de fundamento.;forzado;Impuesto o arrastrado contra la voluntad.;0;1;;;
Les he mostrado los casos más representativos, digamos, los más dicientes, los más frecuentes, pero no por ello los más interesantes.;diciente;Referido a un evento o suceso, representativo, significativo.;reveladores;que muestran o ilustran claramente algo importante;1;1;;;
Es un arbusto muy curioso el barbasco, crece abundantemente en todos los climas y crece especialmente en terrenos cenagosos o a las orillas de los arroyos.;barbasco;Planta de hasta 4 m de altura, hojas compuestas, tallo cilíndrico, ramificado y nudoso, flores de cinco pétalos, fruto en vaina larga y raíces con contenidos tóxicos usados para la pesca fluvial.;bejuco;planta trepadora o liana que crece en terrenos húmedos;1;1;;;
Yo era muy chiquita, pero era más aviona que él.;avión, na;Referido a una persona, que es astuta para sacar provecho de otras personas o situaciones.;astuta;Persona hábil e inteligente para sacarle provecho a las situaciones.;1;1;;;
Las áreas sociales no se deben alfombrar de pared a pared. Hay que lucir los pisos, especialmente, si son de madera.;alfombrar;Cubrir el piso, especialmente de una vivienda, con tapete, alfombra u otro material.;entapetar;Cubrir el suelo con alfombras o tapetes.;1;1;;;
"Cuando se rapó la cabeza frente a las cámaras, dijimos, ""pobre vieja, se deschavetó”.";deschavetarse;Enloquecer.;volverse loca;Perder el juicio o actuar de forma irracional.;1;1;;;
Los Puinave invocan a Yuum, el Dios de los animales, y de la pusana, otra planta que sirve para atraer a la pareja y ligarla al matrimonio.;pusana;Bejuco que se utiliza con fines medicinales o rituales.;filtro amoroso;preparado vegetal usado para provocar o atraer el amor;0;1;;;
¡Qué frío tan macho! En los últimos días los bogotanos han tenido que andar y dormir más abrigados de lo normal.;macho;Referido a algo, intenso o de grandes proporciones.;muy intenso;frío de gran intensidad, fuerte y marcado;1;1;;;
Los llamados ‘matrimonios’ son aconsejados por los farmaceutas en cantidades menores y por días.;matrimonio;Conjunto de dos pastillas, una antigripal y un antibiótico, recomendados para el tratamiento de la gripa.;tratamiento combinado;Uso conjunto de dos medicamentos por un periodo corto;1;0;;;
Aunque suene a cuento, en Caldas y sus alrededores hay guaqueros que aseguran que tienen técnicas para encontrar entierros indígenas.;entierro;Tesoro representado en dinero, joyas u objetos arqueológicos, que se encuentra enterrado.;tesoro indígena;Objeto o conjunto de riquezas ocultas por indígenas.;1;1;;;
Para las segundillas u onces huilenses, se prepara el alfandoque, la melcocha o panela, el dulce de pata o gelatinas.;segundillas;Comida ligera que se toma en las horas de la tarde, entre el almuerzo y la comida.;onces;pequeño refrigerio de la tarde compartido entre comidas;1;1;;;
¿Usted es que tiene un entuque o qué?, ¿para qué tan linda?”.;entuque;Noviazgo informal, pasajero.;romance pasajero;relación temporal sin compromiso;1;1;;;
Tuve que aprender a hacer maleta, porque todo era fundamental: implementos de aseo, ropa, libros, pulseras, aretas.;areta;Arete, adorno que se pone especialmente en la oreja y puede ser colgante o no.;pendiente;joya que se usa colgando en la oreja;1;1;;;
don sabas trata de sacar algo de una chuspa que lleva en la correa;chuspa;cartuchera;bolsa;Objeto para cargar y transportar artículos;1;1;;;
Un cardumen de jurel que para muchos pescadores de Cartagena nunca antes se había acercado a la playa, apareció ayer en el sector.;jurel;"Pez marino con escamas, cuerpo fusiforme, de color amarillento con reflejos verdes, aleta caudal muy bifurcada; muy apreciado en la alimentación.";pez jurel;pez costero plateado de tamaño mediano que aparece en cardumenes;1;1;;;
Esa pareja se iba a inventar en aquel motel.;inventar;Sostener relaciones amorosas y sexuales de manera clandestina.;meterse;Entrar a un lugar para tener relaciones íntimas;1;0;;;
Nos gustan los productos silvestres como el palmito, aguacate, madroño, plátano y la carne de animales del monte como la guatusa, el armadillo y cusumbo, añade Lorenza.;cusumbo;Mamífero americano de hasta 67 cm de longitud, cabeza alargada, hocico muy estrecho y largo, orejas cortas y redondeadas, y pelaje espeso con anillos rojizos y negros.;coatí;Mamífero omnívoro de hocico largo, pelaje rojizo y cola anillada.;1;1;;;
El éxito de su relación de pareja está en “tener muchas cosas en común y una gran amistad. Ser un ‘mompa’ de su pareja”.;mompa;Compañero o amigo de una persona.;mejor amigo;Amigo cercano e íntimo en la relación de pareja.;1;1;;;
Entra al viejo edificio de Medicina, busca por los corredores la Decanatura. Descansa al ver que en los pasillos no hay nadie conocido.;decanatura;Dependencia o lugar donde ejerce sus funciones el decano.;oficina del decano;Despacho donde atiende y trabaja el decano;1;1;;;
Sí, es muy linda la niña pero, imagínense para invitarla a comer rellena, longaniza, pescuezo de gallina, bichurias y todo lo que un colombiano medio consume.;bichuría;Plato que se prepara con vísceras de cordero, el marrano u oveja, con arroz mezclado con arveja, tomate, cebolla, ajo y pimentón.;cosas pequenas;elementos menores o poco importantes dentro de una lista de comidas;0;1;;;
La vieja avioneta fue colocada en el parque y servía de entretención para los niños.;entretención;Dicho de algo que sirve para el entretenimiento.;diversión;Actividad que proporciona placer o distracción a los niños.;1;1;;;
Para los Ticuna el panero se toma como unidad de capacidad fundamental y en él se cargan toda clase de alimentos.;panero;Canasto elaborado con diversas fibras vegetales y que se usa especialmente para el transporte de alimentos.;cesta;Recipiente de forma redonda para medir y transportar alimentos.;1;1;;;
Daniela se desgonzó de repente y apenas tuvo tiempo el contrayente de sostenerla por el talle para que no se derrumbase en el piso.;desgonzar;Caer por ausencia de fuerza o por cansancio físico.;desmayarse;Perder el conocimiento repentinamente por debilidad extrema.;1;1;;;
La güicha o güicha hormiguera, se distingue por seguir la marcha de las hormigas legionarias y alimentarse de éstas u otros insectos.;güicha;Ave mediana, de aproximadamente 17 cm de longitud, cabeza y cuello grises, parte superior del cuerpo verde oliva claro y parte inferior amarilla, que se distingue por su canto.;hormiguero;Aves que siguen hormigas legionarias para comer insectos.;1;1;;;
Así nació la marimonda, un disfraz auténticamente barranquillero, mezcla de primate y elefante.;marimonda;Personaje característico del carnaval de Barranquilla que consiste en un disfraz compuesto por una máscara de nariz larga y orejas grandes, un traje con parches y un pito.;disfraz de carnaval barranquillero;Personaje enmascarado con orejas grandes y trompa larga del carnaval de Barranquilla.;1;1;;;
Resulta que acá en el trabajo hay un chico que me la tiene dedicada haciéndome bromas desde que llegué.;dedicar;Molestar alguien a otra persona con insistencia.;estar pendiente;mantener atención o interés hacia alguien con actitudes constantes;1;1;;;
Siga cuidadosamente estos consejos, evite contratiempos y mantenga su carro, siempre, como una uva.;uva;Muy bien.;impecable;"En perfectas condiciones; sin fallas ni desperfectos";1;1;;;
un potro guaucho;guaucho;dicho de un animal, que ha perdido a su madre;bravo;Caballo indómito y fiero.;0;0;;;
La situación no es clara, pero como que lo despidieron por robo continuado.;como;Al parecer.;parece que;indica duda u opinión no confirmada sobre un hecho;1;1;;;
He estado muy ocupado, muy confundido, muy locho para escribir.;locho;Referido a una persona, perezosa que no le gusta hacer nada.;perezoso;Persona vaga o con flojera para actuar.;1;1;;;
Otro 17% distribuido en 4 especies (caga, guacuco, sardina rabicolorada, dentón) presenta valores de mercurio total por debajo de los estándares.;caga;Pez de color amarillo, vientre abultado y sobresaliente, que se alimenta de excrementos y su consumo se considera vergonzoso.;nombre de especie;Nombre común de un pez dentro de la lista de especies;0;1;;;
Porque ustedes lo pidieron a gritos tenemos 8 boletas dobles para el concierto del artista […].;boleta;Documento que permite ingresar a un lugar, especialmente a un evento o espectáculo.;entradas;Títulos que permiten el acceso al concierto;1;1;;;
Lo acompañé a comprar un repuesto para la licuadora porque se dañó ayer.;dañar;Descomponerse algo.;se averió;dejó de funcionar correctamente;1;1;;;
ve que si dejás a este muchacho bien enquimbao, vos sos el primero que tenés que responder!;enquimbarse;endeudarse;quedarse debiendo;tener una deuda u obligación pendiente con alguien;1;1;;;
En la cuenca del río Orinoco, hoy se liberarán 16 mil tortuguillas de la especie tortuga arrau, que se encuentra en peligro de extinción.;arrau;Tortuga de agua dulce de gran tamaño, caparazón aplanado de color café oscuro o negro, pecho plano de color amarillo pálido, cabeza negra y ojos prominentes.;tortuga gigante;Especie grande de tortuga de agua dulce en peligro de extinción.;1;1;;;
Ese día ella depositó en sus oídos la lista que la atafagaba desde su llegada a Springfield y que no había podido compartir con nadie.;atafagar;Sentir angustia por exceso de trabajo excesivo o por carencia de tiempo.;agobiar;Causar una carga emocional o mental que dificulta hablar o desahogarse;1;1;;;
Ese mal educado prefiere salvar a uno, que pedir permiso para pasar.;salvar;Caminar por encima de las piernas extendidas de otra persona.;pasar por delante;adelantarse sin permiso para acortar camino.;1;1;;;
La relación del gobierno local, del alcalde de Cartagena con los picoteros se me parece mucho a la de un papá con sus hijos en cuanto a dar permiso.;picotero;Referido a una persona, dueño o encargado del funcionamiento de un picó.;DJ de picó;Persona que selecciona y reproduce música en verbenas y bailes populares.;0;1;;;
"""¡Se metió la ‘tomba’, se metió la ‘tomba!"" gritan los ladrones mientras corren en fuga.";tombo;Cuerpo de agentes de la Policía.;policía;Agente encargado de hacer cumplir la ley y mantener el orden público;1;1;;;
Yo iba por la sabana y, como uno ya sabe que por aquí en el llano al Silbón no se puede ni contestarle los silbidos ni nada porque él lo embolata y lo aruña a uno.;silbón;Personaje mítico, cuya apariencia depende de la región puede ser un empresario o arriero que aparece en las noches, hechiza a los animales con su silbido o trae malos presagios.;espíritu errante;alma que vaga por el llano y asusta o agrede a la gente;1;1;;;
