Modismo;Definición Sonar;Definiciones Reales;Acorde;;
entaconarse;Ponerse, especialmente una mujer, zapatos de tacón.;Ponerse zapatos de tacón.;1;;
flauta;Instrumento musical de viento formado por un tubo con orificios que se tapan y destapan para producir sonido.;En los hornos o chimeneas a gas, tipo de quemador que consiste en un tubo con perforaciones que permite salir el gas regulado por una válvula. | Tipo de galleta hojaldrada, de forma alargada con orificios simulando al instrumento musical, rellena de bocadillo o arequipe. | Tipo de exhibidor que consta de un un tubo cromado,con uno o varios pomos pequeños para colgar diferentes prendas de vestir que van en un soporte o directamente asegurados a la pared.;0;;
puntero;En el fútbol, delantero que se desempeña en los laterales.;en las competencias de velocidad, persona que va en el primer lugar | En el fútbol y deportes similares, jugador que ocupa posiciones de ataque en los costados del campo de juego.;1;;
güete;Estado de alegría o satisfacción plena, sentirse muy contento y pleno.;contento, alegre | Feliz.;1;;
candil;"En Colombia, bebida caliente preparada con leche y yemas batidas tradicionalmente consumida como reconstituyente; también vocablo regional para lámpara o mechero antiguo.";bebida caliente a base de leche, yema de huevo, azúcar, canela y vino | Bebida hecha a base de leche, con huevos, canela y azúcar o panela, puede llevar vino, aguardiente o brandy.;1;;
desempajado;Persona distraída, desordenada o fuera de lugar en comportamiento o apariencia, que no encaja con el entorno social inmediato.;dicho de un persona, medio calva;0;;
curruncho;Término coloquial colombiano usado para describir a una persona de modales rústicos, de origen rural o costeño, percibida como sencilla u ordinaria.;clases de peces | habitante de la costa atlántica | tosco, ordinario;1;;
cachirre;Nombre coloquial en Colombia para el caimán o babilla, un reptil crocodiliano de aguas dulces.;Reptil muy parecido al cocodrilo, de hocico ancho y cola larga cuya carne es comestible y su piel es aprovechada para la industria.;1;;
desconchinflado;Estado de agotamiento o extenuación extrema en una persona.;Referido a algo o a alguien, maltrecho, desordenado o deteriorado.;1;;
chona;Persona boba o tonta.;Recorrido corto que se hace en cualquier tipo de vehículo.;0;;
embarruntar;Cubrir con barro o embarrar algo.;manchar el cuerpo y, especialmente, la cara con tizne u otra cosa;1;;
yerto;Tieso o rígido por frío, muerte o inmovilidad, con aspecto inmóvil y duro.;Referido a una persona, que siente mucho frío.;1;;
abotar;Echar fuera con fuerza o violencia, expulsar algo o alguien de un lugar.;Ubicarse alguien o algo en la orilla del río o la acera. | Cruzarse el río o el mar de un lado para el otro.;0;;
hunche;Hollejo o afrecho del maíz y de otros cereales, usado como residuo de la molienda.;Bagazo de la hoja del fique cuando se saca la fibra. | Hollejo que queda como residuo en distintos procesos con maíz y algunos cereales. | afrecho, hollejo del maíz y otros cereales;1;;
asado;"Persona molesta, enojada o de mal genio; también usado coloquialmente para indicar falta de dinero en algunos contextos regionales.";Reunión en campo abierto en la que se prepara y se come carne y otros alimentos asados.;0;;
culequera;Actitud o acto imprudente y temerario que causa peligro o problemas, caracterizado por conducta descuidada o alocada.;empecinamiento o capricho | Terquedad, capricho.;1;;
hibia;Mujer atractiva y de buen cuerpo.;Planta herbácea de flores agrupadas de color amarillo verdoso, tubérculo comestible y las hojas para uso medicinal. | planta de climas fríos que produce un tubérculo comestible | Tubérculo comestible de forma redonda u ovalada y de colores amarillo o lila.;0;;
vacilón;"Persona o ambiente festivo y divertido; actitud burlona o de juego social para pasarla bien.";Burla o broma continua que se le hace a alguien. | Relación amorosa transitoria y sin importancia.;1;;
culear;Realizar el coito de manera intensa y sin restricciones de pudor.[1][2];Tener relaciones sexuales con alguien. | fornicar;1;;
manjar blanco;Crema dulce tradicional colombiana, preparada con leche y azúcar hasta obtener una textura espesa y aromatizada con canela y cáscara de limón.;arequipe, dulce de leche;1;;
matiné;Función o espectáculo que se realiza por la mañana o en las primeras horas de la tarde.;función de cine o teatro que se efectúa hacia la media tarde;1;;
anaco;Tela rectangular tradicional que las mujeres indígenas ceñían a la cintura y usaban como falda o manta.;talega de fique, provista de dos cargadores para llevarla a la espalda, sujeta a los hombros | falda usada por los varones de la etnia guambiana | Falda hecha de tela de una sola pieza, abierta al lado y ceñida a la cintura por una faja.;1;;
mario;Insulto coloquial usado en algunas regiones de Colombia para describir a una persona torpe, poco astuta o que dice incoherencias.;Árbol de hasta 20 mts de altura, de hojas simples opuestas, con flores blancas en racimo, frutos redondos y cuya madera es usada para la construcción.;0;;
segundillas;Pequeño refrigerio o merienda ligera que se toma entre comidas.;Comida ligera que se toma en las horas de la tarde, entre el almuerzo y la comida.;1;;
chimbilá;Mamífero volador nocturno del orden de los quirópteros conocido coloquialmente en varias regiones de Colombia como murciélago.;murciélago | Mamífero volador, pequeño, de hábitos nocturnos, que se orienta en la oscuridad. | vulva;1;;
pullito;Diminutivo coloquial usado en algunas regiones de Colombia para referirse a una persona muy joven o recién llegada.;Referido a una textura o cobija, suave, sin asperezas.;0;;
clavadista;Persona profundamente enamorada o obsesionada con alguien.;Deportista que practica el salto de trampolín.;0;;
tanda;Golpiza o serie de golpes recibidos de forma repetida.;En una reunión, turno de bebida que costea uno de los participantes.;0;;
atarragarse;Atiborrarse excesivamente de comida.;Comer en exceso. | comer en exceso;1;;
churro;Hombre muy guapo y con apariencia atractiva.;persona físicamente atractiva | Referido a una persona, bien parecida, atractiva físicamente.;1;;
chichamaya;Danza tradicional del pueblo wayúu en La Guajira donde la mujer persigue al hombre al ritmo del tambor hasta derribarlo.;Baile propio de los indígenas wayuu que se baila en parejas y representa la huida del hombre frente a la presencia de la mujer a la cual se somete.;1;;
mezcla;Situación o conjunto en el que se combinan elementos diversos de manera desordenada o heterogénea.;Material usado en construcción, resultado de mezclar agua, arena, cemento y grava.;0;;
michicatería;Actitud o comportamiento mezquino y avaro, especialmente al regatear precios o ahorrar de manera exagerada.;Tacañería.;1;;
gambeteador;Jugador de fútbol hábil y escurridizo que sortea adversarios mediante regates y movimientos rápidos.;En fútbol, jugador que esquiva a los contrincantes con movimientos rápidos.;1;;
despachada;Persona, generalmente mujer, de cuerpo hermoso y proporcionado.;Crítica fuerte contra algo con lo que no está de acuerdo.;0;;
mandar;Encargar a alguien que realice una compra, diligencia o recado por cuenta de otra persona.;Poseer algo, generalmente digno de admiración. | Lanzar o tirar algo, generalmente con fuerza o violencia. | lanzar con fuerza | usar, utilizar | Tomar una decisión o determinación, especialmente, cuando se conduce un automóvil.;0;;
locro;Guiso andino espeso preparado con zapallo, maíz, papas y a veces carne, típico de diversas regiones de Sudamérica, especialmente la zona andina.;sopa de papas;1;;
chara;Sopa de cebada con los granos tostados y triturados en Colombia, especialmente en Nariño y el suroccidente.;Sopa de cebada molida con espinazo y verduras. | sopa a base de cebada;1;;
desguarambilado;Desarreglado y mal vestido por falta de cuidado en el aseo o la forma de vestir.;desaliñado, descuidado en el traje | Referido a una persona, descuidada en su forma de vestir. | desvencijado;1;;
chupa;Agente de la policía de tránsito que se desplaza en motocicleta.;Policía de tránsito. | Instrumento que consta de una base acampanada y un palo, que se usa para destapar cañerías. | Alumno que adula al profesor con el fin de conseguir algo. | implemento para destapar cañerías | agente de la policía de tránsito;1;;
arriscar;Tener fuerza suficiente para alzar o soportar algo pesado.;doblar o doblarse algo hacia arriba | Lograr o ser capaz de hacer algo. | alcanzar, lograr, tener fuerza suficiente para hacer algo;1;;
ayayais;Exclamación que expresa dolor intenso, aflicción o complicación de una situación.;Se usa para indicar lamento, queja, arrepentimiento.;1;;
tiranuelo;Ave paseriforme de la familia Tyrannidae, común en Colombia, conocida como diminutivo de tirano por su agresiva defensa territorial.;Grupo de aves que pertenece a la familia de los tirádinos, caracterizadas por sus colores apagados, grisáceos, verde-oliva, blanco, pardo o negro, cuyos tamaños varían entre los 6 y los 14 cm, con alas puntiagudas y usualmente, una cresta de pluma.;1;;
cotejo;Partido de fútbol de carácter informal.;Partido de fútbol.;1;;
calibrador;Aparato para medir la presión del aire en las llantas.;Aparato que se usa para medir la presión del aire de las llantas de un vehículo.;1;;
chilangas;Testículos.;testículos;1;;
claridoso;Persona franca y directa que expresa sus ideas con claridad y sin rodeos.;dicho de una persona, que dice la verdad con crudeza | Referido a una persona, que habla con sinceridad, sin rodeos y en ocasiones con crudeza.;1;;
flormorado;Persona afectada por poses o falsedad en el trato, que busca aparentar refinamiento o sofisticación de forma exagerada.;Árbol que alcanza los 30 m de altura, de corteza escamosa y gris, hojas compuestas y flores rosadas o moradas, cuya madera es muy utilizada en la fabricación de muebles y pisos.;0;;
guacamaya;Persona gritona.;Ave que alcanza los 60 cm de largo, de la familia de los loros, plumaje colorido azul, rojo o verde, sienes blancas y pico grande y fuerte que usa para romper frutos secos y semillas.;0;;
quihubo;Expresión coloquial de saludo usada en Colombia para iniciar una conversación de manera informal.;Forma de saludo.;1;;
moler;Trabajar con mucho esfuerzo o fatigar realizando una actividad física o laboral de manera intensa.;Trabajar mucho.;1;;
cerrillo;Persona astuta, viva y despierta.;Nombre común para varias especies de cerdo salvaje americano, de hasta 80 cm de altura y sin cola, piel con cerdas largas y fuertes y con colmillos poderosos.;0;;
glaxo;Adj. coloq. obsol. Persona elegante en el vestir y en el comportamiento.;individuo elegante en el vestir y en las maneras | Hombre bien vestido que se preocupa exageradamente por su apariencia personal.;1;;
alisar;Arreglar o limpiar algo para darle aspecto agradable y presentable.;Referido al pelo, tratarlo para que pierda todo rizo u onda y quede lacio. | Quitar las arrugas de la ropa con la plancha.;1;;
chichía;Palabra coloquial usada en algunas regiones de Colombia para nombrar una molestia leve o algo fastidioso de poca importancia.;Pene.;0;;
gonorrea;Insulto coloquial que designa a una persona vil, despreciable o de conducta reprochable en el habla popular colombiana.;Forma de dirigirse o de mencionar a un amigo o amiga. | Referido a una persona, ruin, despreciable.;1;;
sancochar;Cocer verduras y carnes con sal en agua hirviendo.;Estar con mucho calor. | Cocinar carnes u otros alimentos en agua con sal.;1;;
reculo;En Colombia, acción de retroceder o ceder ante una situación o presión.;Referido a algo o a alguien, que es malo o de poca calidad.;0;;
changonga;Persona con piernas gruesas y bien formadas.;broma pesada, burla;0;;
bracero;Trabajador manual o jornalero en contextos rurales o agrícolas.;Trabajador portuario que se ocupa del cargue y descargue de la mercancía de los contenedores.;1;;
apero;Conjunto de herramientas, aparejos o utensilios usados en la labranza o para amarrar y equipar animales de carga.;Silla y otros implementos que se ponen al caballo para cabalgar o a otras bestias para cargarlas. | silla y demás arreos para montar en una cabalgadura;1;;
liudar;Fermentar la masa mediante la acción de la levadura para que aumente de volumen.;fermentar la masa con la levadura;1;;
bajar bandera;Iniciar la jornada de trabajo o ventas, especialmente al efectuar la primera carrera o la primera venta del día.;iniciar las ventas de un día;1;;
bolera;Lugar o situación dedicada al baile y la diversión nocturna, generalmente con música y baile social.;Expresa molestia o fastidio.;0;;
ley;Palabra usada coloquialmente para expresar asentimiento, acuerdo rígido o algo que debe cumplirse como norma social entre conocidos.;Mantenerse en sus ideas y creencias. | policía. ¡cuidado que viene la ley | La policía.;0;;
jipa;Sombrero artesanal de ala ancha fabricado con fibra de jipijapa, típico en algunas regiones de Colombia.;Sombrero hecho con palma de iraca. | Fibra obtenida de la palma de iraca, con la que se hacen sombreros.;1;;
rancharse;Mantenerse firme en una opinión, actitud o decisión pese a obstáculos o argumentos contrarios.;empecinarse en hacer o no hacer algo | alojarse en un lugar, por lo general sin consentimiento de los dueños;1;;
manfifio;Persona confundida o desconcertada, que muestra actitud aturdida o desorientada.;equivocado o confuso;1;;
quejadera;Queja reiterada.;Sentencia repetida en la que se protesta y se queja como muestra de enojo.;1;;
catear;Registrar o inspeccionar a fondo un lugar, vehículo o persona, generalmente por parte de la policía u otra autoridad.;En el pueblo Nasa, convocar a los miembros de la comunidad para elegir el gobernador o tomar decisiones sobre su comunidad. | Inspeccionar un terreno en búsqueda de vetas. | Corroborar con precisión algo mediante el uso de técnicas científicas.;0;;
atulampar;Actuar de manera torpe, despistada o atolondrada, mostrando falta de atención o soltura en lo que se hace.;Aturdir, desorientar. | aturdir, atontar, desorientar;1;;
radio;En Colombia, mujer atractiva y con buen cuerpo.;Referido a una persona, chismosa.;0;;
niquelado;Perfecto, impecable o realizado con gran esmero.;Aguardiente de fabricación casera, de mala calidad.;0;;
tocadera;Acción de tocar reiteradamente el cuerpo o una parte del cuerpo de una persona, generalmente de forma repetida y prolongada.;Contacto o toque reiterado del cuerpo de una persona o de un objeto.;1;;
a juro;Por fuerza, sin remedio o obligatoriamente.;con terquedad o insistencia | a la fuerza, contra la voluntad de uno;1;;
cascarilla;Persona o cosa de escaso valor o sin importancia.;cascarrabias;0;;
recolecta;Colecta o recaudación de donativos.;Reunión de donaciones y contribuciones.;1;;
rambado;Persona que camina o baila con un estilo peculiar y llamativo que atrae todas las miradas.;Referido a una persona, que no tiene cabello, rapado.;0;;
chucha;Término coloquial y vulgar en Colombia que designa la vulva y, en uso popular, también puede aludir al mal olor de las axilas o a la zarigüeya.;axila | cobarde, de poco ánimo. il ser una ~ para algo . no tener aptitudes o capacidad para realizar una actividad | zarigüeya, raposa, fara | Referido a una persona, cobarde. | Referido a una persona, torpe. | Vulva. | Mal olor de las axilas. | Mamífero marsupial parecido a la rata, de orejas negras, hocico largo y puntiagudo y cola larga y gruesa. | vulva | mal olor del sudor de las axilas;1;;
cachamenta;Conjunto de cuernos de animales o, en uso coloquial colombiano, destrucción o estropicio causado a algo.;conjunto de cuernos de algunos animales;1;;
balanza;Inclinación decisiva hacia una de las partes en un asunto o situación.;Juego de parques infantiles que consiste en una barra sujeta al suelo por un eje central, que permite subir y bajar alternativamente a quienes se sitúan en cada extremo para balancearse.;0;;
englobarse;Quedarse soñando despierto o distraído, perdido en la imaginación y desconectado de lo que ocurre alrededor.;distraerse, no estar concentrado | Distraerse, desconcentrarse.;1;;
catire;Persona de tez clara y cabello rubio o rojizo, con ojos claros, típica del habla llanera y del habla coloquial en Colombia y Venezuela.;Referido a una persona, que tiene el cabello rubio. | que tiene el cabello rubio;1;;
agapanto;Planta ornamental perenne del género Agapanthus, con hojas acintadas y flores agrupadas en umbela, originaria de Sudáfrica y común en jardines.;Flor de esta planta, con corola en forma de embudo, de color azul o blanco y que se halla en grupos al extremo de un largo tallo. | Planta ornamental de origen africano, de hasta 1 m de altura, hojas largas que salen de un mismo punto sin tallo visible.;1;;
chiripiado;Dicho de una prenda: que presenta un dobladillo o remate cosido hacia el interior en la parte inferior.;En la industria marroquinera, técnica usada para decorar la pieza de cuero con diferentes figuras angulares o circulares.;0;;
matonear;Intimidar a alguien con actitud agresiva y prepotente.;Imponer la voluntad a través de la amenaza, la intimidación o la burla.;1;;
monacho;Hombre homosexual.;Dibujo rápido y poco elaborado, especialmente de una figura humana.;0;;
mano de plátano;Racimo o penca de plátanos que se cosecha y comercializa unida por su tallo.;cada uno de los grupos o gajos de plátano en que se divide un racimo;1;;
despiporre;Desbarajuste o desorden, usualmente en contexto festivo o caótico.;actividad que se hace en exceso, por ejemplo, gasto en dinero;1;;
liberal;Miembro o partidario del Partido Liberal Colombiano.;Relacionado con el partido Liberal Colombiano, uno de los partidos políticos tradicionales de Colombia. | Seguidor de este partido político. | Bizcocho pequeño, redondo, relleno generalmente de arequipe y cubierto de un dulce rojo y azúcar.;1;;
mezanine;Piso situado entre la planta baja y la primera planta de un edificio.;Piso que se encuentra entre la primera planta y la planta baja de un edificio.;1;;
imponencia;Grandeza, majestuosidad o altivez arrogante.;Orgullo, arrogancia. | Majestuosidad, grandiosidad.;1;;
maluquearse;Enfermarse repentinamente, algunas veces hasta desmayarse.;Enfermarse repentinamente, algunas veces hasta desmayarse. | sentir malestar o una enfermedad leve y pasajera;1;;
caspa;Persona desagradable, molesta o de comportamiento irritante que provoca rechazo.;Mazorca del maíz en estado de madurez. | Cáscara del maíz. | mazorca de maíz maduro | persona inquieta, desjuiciada;1;;
inquilinato;Vivienda colectiva de bajos recursos en la que varias familias ocupan habitaciones privadas y comparten entradas y servicios domésticos.;Casa con varias habitaciones pequeñas y pocas comodidades que se arrienda a familias de escasos recursos económicos.;1;;
mitaca;Período intermedio de la cosecha agrícola, especialmente del café, en el que se recoge una producción menor.;cosecha intermedia, especialmente de café;1;;
chonta;Cabeza.;Fruto de esta palma, de colores rojo, amarillo y naranja, de pulpa amarillenta o naranja que se come cocinada con sal. | Palma de hasta 7 m de altura, con tallo cubierto de fuertes espinas, hojas pecioladas, flores en espigas y frutos comestibles en racimos.;0;;
bustona;Adjetivo coloquial que describe a una mujer con senos notablemente grandes.;Referido a una mujer, que tiene el busto grande.;1;;
waflera;Aparato doméstico, generalmente eléctrico, en forma de plancha utilizado para preparar wafles.;Electrodoméstico que consta de dos planchas en forma de rejilla que se cierran una sobre la otra, con el que se preparan los %iwaffles%i.;1;;
sabrosita;Picazón o comezón intensa y molesta en la piel, especialmente usada en la costa colombiana.;Afección contagiosa de la piel, provocada por un ácaro que produce enrojecimiento y comezón.;1;;
caratoso;Persona que padece carate o alguna enfermedad cutánea con manchas blancuzcas, rojizas o azuladas en la cara.;que padece de carate o alguna enfermedad cutánea;1;;
azafato;Auxiliar de vuelo encargado de atender a los pasajeros en aviones.;bandeja;0;;
sangrerío;Grupo o suceso de gran violencia o derramamiento de sangre, especialmente una pelea, masacre o matanza brutal.;Cantidad grande de sangre derramada.;1;;
americano;Persona rubia de piel blanca.;Pagando cada uno lo que consumió o le corresponde en un gasto en común.;0;;
apurón;Aprieto o trance difícil.;aprieto, trance difícil;1;;
curare;Persona astuta o pícara que engaña o se aprovecha de los demás con inteligencia maliciosa.;Nombre común para diversas plantas de la Amazonía y la Orinoquía, que contienen substancias tóxicas que producen parálisis muscular. | Líquido espeso y tóxico que se elabora con el extracto de diversas plantas y que se unta en las armas de cacería para producir la parálisis de la presa.;0;;
bolsicona;Mujer mestiza del sur de Colombia, como en Pasto y Popayán, conocida por su vestimenta tradicional que incluye un bolsicón de bayeta en colores vivos.;mujer que usa el bolsicón;1;;
espalda;En modismo colombiano, *espalda* alude a la capacidad de apoyo o protección que una persona ofrece, especialmente mediante influencia, respaldo económico o político.;Traer buena o mala fortuna a alguien o en algo.;0;;
melodía;Término coloquial usado en algunos contextos colombianos para describir una sensación agradable, tranquila o que algo está en armonía y bien dispuesto.;Ensuciar o dañar el vestido. | Estar cansado, agotado.;0;;
turistear;Pasear o vagar sin rumbo fijo como turista.;Viajar por placer, recorriendo distintos lugares.;1;;
música guasca;Género popular campesino colombiano, de ritmo festivo y estructura sencilla, con letras coloquiales, humorísticas o pícaras y fuerte arraigo regional en Antioquia y el Eje cafetero.;género popular de ritmo sencillo, similar al corrido o ranchera;1;;
foquear;Dormir profundamente o quedarse profundamente dormido por agotamiento.;Dormir profundamente después de haber realizado una tarea de mucha exigencia física o mental;1;;
blanqueado;Dulce colombiano elaborado con melaza de caña de azúcar batida junto a ingredientes como queso, anís o jengibre.;en un deporte o juego, apabullado, derrotado | golosina elaborada con miel de caña que se bate, sin llegar al punto de caramelo | Golosina tradicional que se obtiene al cocinar y batir la miel de caña hasta obtener una pasta o melcocha que se saboriza con anís y cáscara de limón y se envuelve en hojas de plátano.;1;;
pénsum;Plan de estudios de una carrera universitaria.;Conjunto de materias académicas que conforman una carrera universitaria.;1;;
cajeto;Término coloquial usado en algunas regiones de Colombia para nombrar a ciertos árboles o, en el habla popular, para describir a una persona de mandíbula prominente o saliente.;Árbol de hasta 15 m, de flores de color rojo encendido, semillas y frutos de color café, se siembra para proteger las fuentes hídricas, de uso medicinal y alimento para ganado.;1;;
desengañado;Persona desilusionada sentimentalmente por despecho amoroso.;Referido a una persona, que se viste mal.;0;;
madrear;Insultar u ofender gravemente a alguien, especialmente mencionando o denigrando a la madre de la persona.;mentar la madre para insultar | Insultar a alguien con groserías o palabras soeces.;1;;
casito;Adverbio coloquial que indica que algo sucedió o estuvo a punto de ocurrir por muy poco.;Por muy poco.;1;;
emputar;Provocar enojo intenso o enfurecer a alguien, o ponerse uno mismo muy enojado.;Enfurecer.;1;;
chagra;Parcela de cultivo pequeña o huerta familiar típica de regiones andinas y amazónicas, además del espacio comunitario donde se practica la agricultura de subsistencia.;parcela, especialmente sembrada de maíz | pequeña propiedad rural;1;;
imbombera;Enfermedad humana que provoca hinchazón y palidez por retención de orina.;estado enfermizo de una persona que se manifiesta por hinchazón y palidez excesiva;1;;
alentarse;Recuperar fuerzas o salud tras una enfermedad o convalecencia.;Dar a luz. | reponerse de una enfermedad, recuperar la salud | Recuperar la salud o curarse de una enfermedad.;1;;
cachencho;Persona de edad avanzada con facultades muy disminuidas.;dicho de una persona, que por su edad se encuentra chocho;0;;
semillero;En el medio universitario colombiano, grupo de trabajo conformado por profesores que forman a los alumnos en investigación.;En el ámbito universitario, grupo de profesores investigadores que instruyen a los estudiantes en los procesos investigativos.;1;;
azafrán;En el habla coloquial colombiana, azafrán alude a una persona llamativa o presumida que busca destacarse por su apariencia o comportamiento.;Substancia de color amarillo o naranja que se extrae del rizoma del guisador y es utilizada como condimento o colorante.;0;;
banda;Grupo de amigos o personas que salen juntos a realizar una actividad o plan.;Coquetear para llamar la atención del hombre.;0;;
higadete;Guiso o sopa tradicional de la costa Caribe colombiana preparada con trozos de hígado de res y plátano, condimentada y servida como plato principal.;Sopa que se prepara con hígado de res y plátano maduro.;1;;
caminador;Aparato con asiento y ruedas en las patas para que los niños aprendan a caminar.;Aparato metálico que utilizan los discapacitados y adultos mayores para desplazarse. | Aparato formado por un asiento con patas y ruedas en ellas que usan los bebés para aprender a caminar.;1;;
chingue;Prenda de vestir informal utilizada para bañarse o para actividades físicas, equivalente regional de traje de baño o ropa deportiva ligera.;pequeño | pantaloneta de baño que usan los hombres | Vestido de baño tanto de hombre como de mujer.;0;;
ñero;"Amigo cercano o compañero de confianza; en uso coloquial también puede emplearse de forma despectiva para aludir a una persona de bajo estrato social.";Forma de tratamiento usada entre amigos o compañeros. | Amigo de confianza. | Persona que vive en la calle. | compañero, camarada, compinche | indigente que vive en la calle;1;;
cena;En Colombia, designa la comida principal de la noche.;comida, generalmente ligera, que se toma antes de acostarse | comida que se ofrece en una ocasión especial, por ejemplo, la nochebuena, el año nuevo;1;;
gajo;Labio de la vagina.;Mechón semiondulado de cabello. | Tallo que se introduce en la tierra como forma de reproducción de algunas plantas.;0;;
zaragoza;Fríjoles rojos.;Fríjol rojo oscuro alargado.;1;;
taquiara;Taquiara no es un modismo o expresión idiomática colombiana reconocida.;faja que usan a veces los indígenas en la cabeza como adorno;0;;
coleta;Persona de mala reputación o de conducta delictiva menor, usada especialmente en la Costa Caribe colombiana para señalar a individuos problemáticos o de barrio.;tela burda, empleada en la fabricación de sacos, manteles y ropa ordinaria;0;;
cariduro;Persona desvergonzada que persiste en un comportamiento a pesar de los reparos o que actúa con desfachatez.;que persiste en un comportamiento a pesar de los reparos que se le hacen | que se comporta con desfachatez | Referido a una persona, desvergonzada, descarada, o que es negligente en su actuar.;1;;
atajada;Acción de impedir, detener o desviar el avance de algo o de alguien de forma repentina.;En fútbol y otros deportes, detención o desvío del balón lanzado por otro jugador, para evitar que se introduzca en la portería.;1;;
rebusque;Actividad o conjunto de tareas ocasionales que permiten obtener ingresos para subsistir en Colombia.;actividad que se hace para obtener lo necesario para la subsistencia diaria | Actividad temporal que genera algún tipo de remuneración.;1;;
mamoncillo;Fruta pequeña y ácida de color verde producida por el árbol guaya, común en Colombia.;Fruto de este árbol, redondo, pequeño y de cáscara verde, que tiene una pulpa amarilla y gelatinosa. | Árbol que mide hasta 20 m de altura, de flores blancas y pequeñas, y fruto comestible que crece en racimos.;1;;
ambil;Pasta negra de tabaco cocido con cenizas vegetales, consumida por pueblos indígenas amazónicos como los uitoto para rituales y estimulación.;Líquido espeso que se obtiene del jugo cocinado del tabaco que se mezcla con sales vegetales y que se consume en prácticas rituales.;1;;
silletería;Conjunto de sillas dispuestas en un local de espectáculos.;Conjunto de sillas dispuestas en filas que hacen parte de un local o un centro de eventos.;1;;
confrontamiento;Enfrentamiento armado entre grupos armados ilegales o con la fuerza pública.;Cotejo o lucha entre dos rivales o dos ideas opuestas sobre una cuestión.;0;;
yagé;Bebida psicoactiva y purgante preparada con plantas amazónicas, empleada en rituales indígenas colombianos para sanación física, mental y espiritual.;"Planta trepadora de bejucos largos y leñosos, con entrenudos distanciados, hojas opuestas y lanceoladas, y con flores rosadas en umbela; tiene usos medicinales y rituales en las comunidades nativas de Suramérica. | bebida preparada con un bejuco y que usan los curanderos para efectos de alucinación y adivinanza | Bebida medicinal y ritual con propiedades psicotrópicas que se prepara mediante la cocción de esta planta.";1;;
nuca;Persona vulgar, inculta, de modales toscos o de baja categoría social.;Vigilar muy de cerca a alguien.;0;;
salón;Grupo de estudiantes que comparten la misma clase o curso en una institución educativa.;Grupo de estudiantes que conforman un curso. | Aula de clase.%b | lugar donde se imparte una clase en una institución educativa;1;;
garoso;Persona glotona o muy comelona, también usada para describir a quien es codicioso o tiene deseos intensos.;Referido a una persona o un animal, que come en forma abundante y desordenada. | Referido a una persona, que ambiciona algo enormemente. | hambriento, comelón;1;;
chicalá;Árbol o arbusto de rápido crecimiento con flores amarillas tubulares y hojas compuestas de margen aserrado.;Árbol que alcanza los 20 m de altura, con copa frondosa de hojas opuestas y ovales, de cuyo tronco se extrae una madera muy fuerte usada en ebanistería;1;;
follado;Bolsillo grande utilizado por ñapangas o mujeres mestizas en sus faldas.;falda de bayeta usada por campesinas indígenas;0;;
olleta;Recipiente metálico, generalmente pequeño y con asa, usado tradicionalmente en Colombia para preparar bebidas calientes como chocolate o café.;recipiente para preparar el chocolate | Olla, generalmente de aluminio, usada para preparar el chocolate.;1;;
chita;Interjección coloquial usada para expresar sorpresa, molestia o desaprobación de forma breve y viva.;orina | Orinar, especialmente los niños.;0;;
guaguancó;Tipo de rumba colombiana en la que predomina la percusión y cuya parte inicial del canto adopta el carácter de un extenso relato.;Ritmo musical de origen cubano en donde predominan los instrumentos de percusión y cuyo baile representa escenas muy eróticas. | Baile que se danza al son de este ritmo, de movimientos muy sensuales.;1;;
joto;Persona homosexual, usada de manera despectiva en el habla coloquial.;Conjunto atado de ropa y diferentes objetos. | colonia de avispas | paquete o bulto pequeño | jolgorio, fiesta bailable | pleito lugareño | embarazo;0;;
bate;Mentira o engaño en tono de broma.;Hombre bien parecido, atractivo físicamente.;0;;
juglar;En el contexto vallenato colombiano, compositor, acordeonero o cantante destacado por su calidad y aportes al folclor.;Persona que componía, improvisaba, ejecutaba el acordeón y cantaba ritmos vallenatos sobre las vivencias y costumbres del Valle de Upar.;1;;
apuntarse;Unirse a un plan o actividad con otros.;Referido a una prenda de vestir, cerrarla metiendo los botones en los ojales. | abotonarse;0;;
mear fuera del tiesto;Cometer un error de juicio o decir algo fuera de lugar, demostrando desatino o confusión en la apreciación.;hablar u obrar por fuera de lo que es pertinente en un asunto;1;;
rayo;Persona muy rápida, enérgica o que actúa con mucha prisa.;Tratar duramente o sin respeto a alguien.;0;;
despencado;Persona exhausta o agotada por el esfuerzo físico.;dicho de una persona, que no está correctamente sentada;0;;
coroteo;Acción de mudar o transportar los corotos o pertenencias del hogar.;Traslado de los muebles y enseres a una nueva vivienda.;1;;
limpiar;Líquido desinfectante o lejía utilizado para la limpieza de superficies.;Tratar una enfermedad mediante las prácticas de un médico tradicional, especialmente los padecimientos asociados a causas sobrenaturales. | Retirar las malezas de un terreno para su cultivo.;0;;
amontunarse;Juntarse muchas personas o cosas en un espacio reducido hasta quedar apelotonadas.;volverse una persona rústica, de modales rudos, montaraz;0;;
baja;Estado de tristeza, aburrimiento o depresión.;Referido a algo, retirar, dejar de usar algo por viejo o gastado.;0;;
carretel;Carrete de hilo para coser.;Cilindro pequeño generalmente hueco en su eje, con bordes sobresalientes en sus bases, en el que se enrolla o devana una hebra larga y delgada de un material flexible.;1;;
trimotiles;Conjunto de cachivaches o utensilios variados que se usan para una actividad doméstica o práctica.;Conjunto de objetos personales que se usan habitualmente.;1;;
